model,epoch,dataset,population,system,scope,scope_value,window,metric,n_records,n_scenes,n_groups,group_macro,record_median,record_p90
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,full,trajectory_rmse,4952,500,365,0.030465218254142154,0.015580246739957799,0.061292901593676764
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,full,differential_rmse,4952,500,365,0.0222897414708445,0.007467028353144496,0.035296690487976165
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,full,nadir_error,4952,500,365,0.07344372749375402,0.018294960260391235,0.09062988311052327
G0_BALANCED,53,validation,ALL_1000,IEEE39,ALL,ALL,full,max_abs_rocof_error,4780,500,365,2.2967880245607093,0.24716938466957328,1.8159064429822118
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,full,trajectory_rmse,1090,109,78,0.024742817201251193,0.008171096896852803,0.06271379964212592
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,full,differential_rmse,1090,109,78,0.0056045153796624786,0.0035912020509334774,0.01050818779100026
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,full,nadir_error,1090,109,78,0.030830137837914898,0.014830349013209343,0.07759289294481278
G0_BALANCED,53,validation,ALL_1000,IEEE39,event,load,full,max_abs_rocof_error,1090,109,78,0.2777246361558303,0.0660477533739955,0.6995927717612657
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,full,trajectory_rmse,4522,457,324,0.02695241293271075,0.013839388814421174,0.05837900149964887
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,full,differential_rmse,4522,457,324,0.01703848845868487,0.006680521896524547,0.02321033789981023
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,full,nadir_error,4522,457,324,0.05454463764220298,0.015374812297523022,0.0834319904446602
G0_BALANCED,53,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,full,max_abs_rocof_error,4350,457,324,1.6278653158161183,0.16078092429629692,1.668424331191534
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,full,trajectory_rmse,3878,500,365,0.022440268266267452,0.015012335680127675,0.053681292881623766
G0_BALANCED,53,validation,ALL_1000,IEEE39,family,0,full,differential_rmse,3878,500,365,0.015317570447089392,0.007002960814094729,0.03191258274803401
