model,system,window,metric,stratum,n_devices,n_scenes,n_groups,group_macro,median,p90
G0_BALANCED,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.01012680056025739,0.003953546138283334,0.01212018703245774
G0_BALANCED,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.013464371683980726,0.0017942420633420167,0.008236022604222272
G0_BALANCED,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.018989823754647986,0.008984714444334454,0.02525087272810012
G0_BALANCED,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.01795618749640933,0.00474756773643243,0.023474541600492893
G0_BALANCED,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.005920450120167219,0.0038891383877312524,0.009138658749185936
G0_BALANCED,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.005123173006099267,0.001334944537377034,0.007585214656991562
G0_BALANCED,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.004801691536266288,0.002470282618893101,0.011647276694542704
G0_BALANCED,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.005863772081874888,0.0009515720046541925,0.003376698401060433
G0_BALANCED,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.06717356423657019,0.023324031081191684,0.10434815762909752
G0_BALANCED,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.04685911152054001,0.00962559546834155,0.05979024948006345
G0_BALANCED,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.052436545200353554,0.03308592625898725,0.12191139211086899
G0_BALANCED,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.03879351489776593,0.023511707368381138,0.059225597251249804
G0_BALANCED,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.0781461824906385,0.022766802220171228,0.1061427256207879
G0_BALANCED,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.04047592169040188,0.005003262016126349,0.043000360234259974
G0_BALANCED,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.08149772674835845,0.01977474468984162,0.10937672834527133
G0_BALANCED,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.03667258423617791,0.00412008306222755,0.03777990581467456
A1_NO_BALANCE,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.011933835687511454,0.0054021013067733865,0.009990223829981718
A1_NO_BALANCE,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.024524704820389567,0.0018488548381323483,0.008421418741567143
A1_NO_BALANCE,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.01805446969657457,0.011645922085732272,0.02679149633037754
A1_NO_BALANCE,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.021802222489098733,0.004460468895529896,0.023523382987339445
A1_NO_BALANCE,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.007286544769179323,0.004952036165093688,0.009444908402451263
A1_NO_BALANCE,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.0060236510808050325,0.0011289769198459423,0.007120740549641726
