model,dataset,population,system,window,metric,group_macro_mse,n_scenes,n_groups
G0_BALANCED,test,PRIMARY,NPCC140,full,total_mse,0.38735176739685523,500,216
G0_BALANCED,test,PRIMARY,NPCC140,full,common_mse,0.021466939556150623,500,216
G0_BALANCED,test,PRIMARY,NPCC140,full,spatial_mse,0.3658848278407046,500,216
G0_BALANCED,test,PRIMARY,NPCC140,0_2,total_mse,0.03180316460617447,500,216
G0_BALANCED,test,PRIMARY,NPCC140,0_2,common_mse,0.0018094332314095524,500,216
G0_BALANCED,test,PRIMARY,NPCC140,0_2,spatial_mse,0.029993731374764913,500,216
G0_BALANCED,test,PRIMARY,NPCC140,2_10,total_mse,0.2613056291573561,500,216
G0_BALANCED,test,PRIMARY,NPCC140,2_10,common_mse,0.016486823963208455,500,216
G0_BALANCED,test,PRIMARY,NPCC140,2_10,spatial_mse,0.24481880519414767,500,216
G0_BALANCED,test,PRIMARY,NPCC140,10_30,total_mse,0.4733251333553459,500,216
G0_BALANCED,test,PRIMARY,NPCC140,10_30,common_mse,0.025424738423296688,500,216
G0_BALANCED,test,PRIMARY,NPCC140,10_30,spatial_mse,0.4479003949320491,500,216
G0_BALANCED,test,PRIMARY,IEEE39,full,total_mse,0.9016120923672318,500,345
G0_BALANCED,test,PRIMARY,IEEE39,full,common_mse,0.4357635451701876,500,345
G0_BALANCED,test,PRIMARY,IEEE39,full,spatial_mse,0.4658485471970441,500,345
G0_BALANCED,test,PRIMARY,IEEE39,0_2,total_mse,0.49664199421763633,500,345
G0_BALANCED,test,PRIMARY,IEEE39,0_2,common_mse,0.30524796015339517,500,345
G0_BALANCED,test,PRIMARY,IEEE39,0_2,spatial_mse,0.19139403406424121,500,345
G0_BALANCED,test,PRIMARY,IEEE39,2_10,total_mse,0.905113020809595,500,345
G0_BALANCED,test,PRIMARY,IEEE39,2_10,common_mse,0.43542591095275346,500,345
G0_BALANCED,test,PRIMARY,IEEE39,2_10,spatial_mse,0.4696871098568416,500,345
G0_BALANCED,test,PRIMARY,IEEE39,10_30,total_mse,0.9407395795160652,500,345
G0_BALANCED,test,PRIMARY,IEEE39,10_30,common_mse,0.44896278671880846,500,345
G0_BALANCED,test,PRIMARY,IEEE39,10_30,spatial_mse,0.4917767927972568,500,345
G0_BALANCED,wecc1600,PRIMARY,WECC179,full,total_mse,0.12769874039811585,1402,1300
G0_BALANCED,wecc1600,PRIMARY,WECC179,full,common_mse,0.017414774539857313,1402,1300
G0_BALANCED,wecc1600,PRIMARY,WECC179,full,spatial_mse,0.11028396585825855,1402,1300
G0_BALANCED,wecc1600,PRIMARY,WECC179,0_2,total_mse,0.019396171877942462,1402,1300
G0_BALANCED,wecc1600,PRIMARY,WECC179,0_2,common_mse,0.007730130691744097,1402,1300
