system,sample_id,group_id,dynamic_bin,event,evaluation_stratum,dataset,run,epoch,window,total_mse,common_mse,spatial_mse,decomposition_residual
NPCC140,29000002,test1500:npcc140:0002,D3_large_excursion,fault,,test,G0_BALANCED,53,full,8.55543801737639,0.8414132771302627,7.7140247402461295,1.5543122344752192e-15
NPCC140,29000002,test1500:npcc140:0002,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.22085983028772657,0.009626750159134568,0.211233080128592,1.5612511283791264e-17
NPCC140,29000002,test1500:npcc140:0002,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,4.767461346218077,0.6004026807116175,4.16705866550646,1.1102230246251565e-16
NPCC140,29000002,test1500:npcc140:0002,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,10.904086504548584,1.0209961683948334,9.883090336153751,8.881784197001252e-16
NPCC140,29000003,test1500:npcc140:0003,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.4392429978075179,0.005975498674270482,0.43326749913324747,4.163336342344337e-17
NPCC140,29000003,test1500:npcc140:0003,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.1030385097184933,0.005338142903209214,0.0977003668152841,7.806255641895632e-18
NPCC140,29000003,test1500:npcc140:0003,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.39438604918199927,0.011427847591086301,0.38295820159091304,7.45931094670027e-17
NPCC140,29000003,test1500:npcc140:0003,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.4908062260666278,0.003858294684650283,0.4869479313819776,7.32920668600201e-17
NPCC140,29000006,test1500:npcc140:0006,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.45088407631662225,0.0006309817173425869,0.4502530945992796,7.32920668600201e-17
NPCC140,29000006,test1500:npcc140:0006,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.20385377549187658,0.0026819189477682425,0.20117185654410838,3.9898639947466563e-17
NPCC140,29000006,test1500:npcc140:0006,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.48570442664990404,0.0010674551600004913,0.48463697148990353,1.6479873021779667e-17
NPCC140,29000006,test1500:npcc140:0006,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.4616589662657841,0.0002512986172368597,0.46140766764854724,2.3906657903305373e-17
NPCC140,29000011,test1500:npcc140:0011,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,full,0.08486405944573285,0.0025038989735456313,0.08236016047218722,7.806255641895632e-18
NPCC140,29000011,test1500:npcc140:0011,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,0_2,0.027996524046399924,0.011973252364732505,0.01602327168166742,0.0
NPCC140,29000011,test1500:npcc140:0011,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,2_10,0.050811436721445884,0.001953737941126703,0.04885769878031918,1.734723475976807e-18
NPCC140,29000011,test1500:npcc140:0011,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,10_30,0.10417186207538093,0.0017770280473945156,0.10239483402798642,1.0625181290357943e-17
NPCC140,29000013,test1500:npcc140:0013,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,full,0.10870010622397766,0.0025404703636416398,0.10615963586033603,6.071532165918825e-18
NPCC140,29000013,test1500:npcc140:0013,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,0_2,0.05678261388562472,0.009404402593728883,0.047378211291895844,5.204170427930421e-18
NPCC140,29000013,test1500:npcc140:0013,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,2_10,0.13806799594070746,0.0017016597588056074,0.13636633618190186,1.1492543028346347e-17
NPCC140,29000013,test1500:npcc140:0013,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,10_30,0.10214469957112103,0.002189601382567329,0.09995509818855372,1.8648277366750676e-17
NPCC140,29000015,test1500:npcc140:0015,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.7375961324414958,0.004386524406273179,0.7332096080352226,5.204170427930421e-18
NPCC140,29000015,test1500:npcc140:0015,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.23080594375633323,0.0014388237461251173,0.2293671200102081,2.233456475320139e-17
NPCC140,29000015,test1500:npcc140:0015,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.7415021248035609,0.004072913472045613,0.7374292113315152,1.3444106938820255e-16
NPCC140,29000015,test1500:npcc140:0015,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.7867127543651861,0.004806738845979013,0.7819060155192069,1.3964523981613297e-16
NPCC140,29000019,test1500:npcc140:0019,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.15803897045019752,0.00766244799542137,0.15037652245477617,2.42861286636753e-17
NPCC140,29000019,test1500:npcc140:0019,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.059853428075720055,0.0031262013533282927,0.056727226722391756,6.5052130349130266e-18
NPCC140,29000019,test1500:npcc140:0019,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.16129793942900364,0.008489201119825639,0.152808738309178,1.214306433183765e-17
NPCC140,29000019,test1500:npcc140:0019,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.16655393709612282,0.007785371409868971,0.1587685656862539,4.163336342344337e-17
NPCC140,29000020,test1500:npcc140:0020,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,full,0.2773230118115022,0.0015061159157461522,0.27581689589575614,8.760353553682876e-17
NPCC140,29000020,test1500:npcc140:0020,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,0_2,0.05998595173711945,0.002558375576978807,0.05742757616014064,6.5052130349130266e-18
NPCC140,29000020,test1500:npcc140:0020,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,2_10,0.26869352689652665,0.0026910810300393158,0.2660024458664873,2.8189256484623115e-17
NPCC140,29000020,test1500:npcc140:0020,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,10_30,0.30250851178493077,0.0009269039039056217,0.3015816078810251,2.981555974335137e-17
NPCC140,29000021,test1500:npcc140:0021,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,full,0.35663481335181063,0.0017695485084668085,0.3548652648433438,2.5370330836160804e-17
NPCC140,29000021,test1500:npcc140:0021,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,0_2,0.11787808482108043,0.005831005038735411,0.11204707978234502,6.938893903907228e-18
NPCC140,29000021,test1500:npcc140:0021,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,2_10,0.3168018694674623,0.003445065018428488,0.3133568044490338,1.7780915628762273e-17
NPCC140,29000021,test1500:npcc140:0021,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,10_30,0.39644366375862294,0.0006931962514552768,0.3957504675071677,2.42861286636753e-17
NPCC140,29000022,test1500:npcc140:0022,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.06464857601993677,0.003202966828099044,0.061445609191837725,5.204170427930421e-18
NPCC140,29000022,test1500:npcc140:0022,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.09549232210119245,0.0045834571396068955,0.09090886496158555,8.673617379884035e-19
NPCC140,29000022,test1500:npcc140:0022,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.06595833555314491,0.00545573792530735,0.06050259762783757,1.0408340855860843e-17
NPCC140,29000022,test1500:npcc140:0022,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.06104029759852794,0.0021638093580649363,0.05887648824046301,1.734723475976807e-18
NPCC140,29000023,test1500:npcc140:0023,D3_large_excursion,fault,,test,G0_BALANCED,53,full,5.475440861778475,0.28452890410194553,5.190911957676531,1.2212453270876722e-15
NPCC140,29000023,test1500:npcc140:0023,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.036831213159171726,0.0019035030376992656,0.03492771012147245,9.540979117872439e-18
NPCC140,29000023,test1500:npcc140:0023,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,1.9937077176385023,0.11791541166116604,1.8757923059773365,2.220446049250313e-16
NPCC140,29000023,test1500:npcc140:0023,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,7.411995084296394,0.37943684118468196,7.032558243111713,8.326672684688674e-16
NPCC140,29000024,test1500:npcc140:0024,D3_large_excursion,fault,,test,G0_BALANCED,53,full,3.461777073142872,0.1377300218356763,3.324047051307196,4.440892098500626e-16
NPCC140,29000024,test1500:npcc140:0024,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.019813606250914377,0.0016748846887918566,0.018138721562122522,1.734723475976807e-18
NPCC140,29000024,test1500:npcc140:0024,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,1.2608879427537616,0.05409147453114124,1.2067964682226204,8.326672684688674e-17
NPCC140,29000024,test1500:npcc140:0024,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,4.6863290719877115,0.18479095447217875,4.501538117515533,5.551115123125783e-16
NPCC140,29000027,test1500:npcc140:0027,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.31520738077606464,0.0019312528177003645,0.3132761279583643,1.8214596497756474e-17
NPCC140,29000027,test1500:npcc140:0027,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.29403490180968667,0.006730403149862208,0.28730449865982444,2.168404344971009e-17
NPCC140,29000027,test1500:npcc140:0027,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.37305764091264465,0.0031029916603985304,0.3699546492522461,3.8163916471489756e-17
NPCC140,29000027,test1500:npcc140:0027,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.2941845246180705,0.000982642247404914,0.2932018823706655,4.9439619065339e-17
NPCC140,29000029,test1500:npcc140:0029,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.2265934182864973,0.015861435001945336,0.21073198328455195,3.469446951953614e-18
NPCC140,29000029,test1500:npcc140:0029,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.008665380771131818,0.0018505509306098022,0.006814829840522017,8.673617379884035e-19
NPCC140,29000029,test1500:npcc140:0029,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.16727102685228012,0.010527812691664225,0.1567432141606159,1.734723475976807e-18
NPCC140,29000029,test1500:npcc140:0029,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.27211517861172063,0.01939597233319133,0.2527192062785294,9.367506770274758e-17
NPCC140,29000031,test1500:npcc140:0031,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.2734707013385541,0.0015249585304616645,0.27194574280809247,2.47198095326695e-17
NPCC140,29000031,test1500:npcc140:0031,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.12137153981101145,0.001422973930810518,0.11994856588020093,1.951563910473908e-18
NPCC140,29000031,test1500:npcc140:0031,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.2746841494516452,0.0014799211427109018,0.2732042283089343,8.023096076392733e-18
NPCC140,29000031,test1500:npcc140:0031,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.28819523824607196,0.001553171945527084,0.28664206630054484,3.686287386450715e-17
NPCC140,29000034,test1500:npcc140:0034,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.08872241229080707,0.0009833769006557741,0.08773903539015131,7.806255641895632e-18
NPCC140,29000034,test1500:npcc140:0034,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.05761513871270693,0.0036729363168978217,0.05394220239580912,1.3444106938820255e-17
NPCC140,29000034,test1500:npcc140:0034,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.10084270259623111,0.000623086784480245,0.10021961581175087,5.421010862427522e-18
NPCC140,29000034,test1500:npcc140:0034,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.08698502352644749,0.000858537005501781,0.08612648652094572,8.890457814381136e-18
NPCC140,29000035,test1500:npcc140:0035,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.3222780426776341,0.0017532173605856744,0.32052482531704846,2.8406096919120216e-17
NPCC140,29000035,test1500:npcc140:0035,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.13352455875848668,0.002095409813700961,0.13142914894478572,8.673617379884035e-19
NPCC140,29000035,test1500:npcc140:0035,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.3088170891280877,0.0003749426681054985,0.3084421464599822,6.071532165918825e-18
NPCC140,29000035,test1500:npcc140:0035,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.3465377724893674,0.0022703079922662154,0.34426746449710127,8.586881206085195e-17
NPCC140,29000036,test1500:npcc140:0036,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.4580910412839728,0.018176673675414888,0.439914367608558,7.632783294297951e-17
NPCC140,29000036,test1500:npcc140:0036,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.5044201819813784,0.023335510991280336,0.48108467099009805,3.469446951953614e-18
NPCC140,29000036,test1500:npcc140:0036,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.5154485262931422,0.022180225478465213,0.49326830081467693,5.204170427930421e-17
NPCC140,29000036,test1500:npcc140:0036,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.4305151332105646,0.016059369222608214,0.4144557639879563,9.71445146547012e-17
NPCC140,29000037,test1500:npcc140:0037,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,full,0.07102234917784095,0.0034580958452552347,0.0675642533325857,1.431146867680866e-17
NPCC140,29000037,test1500:npcc140:0037,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,0_2,0.022123329303742976,0.0026459804660287083,0.019477348837714268,4.336808689942018e-19
NPCC140,29000037,test1500:npcc140:0037,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,2_10,0.0723691828740499,0.003497546931757647,0.06887163594229227,1.3444106938820255e-17
NPCC140,29000037,test1500:npcc140:0037,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,10_30,0.07537351768676714,0.0035235269485769205,0.07184999073819022,3.903127820947816e-18
NPCC140,29000040,test1500:npcc140:0040,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.3601883024226843,0.009916398780890297,0.350271903641794,6.938893903907228e-18
NPCC140,29000040,test1500:npcc140:0040,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.3176078895670198,0.019897152185743554,0.29771073738127624,6.938893903907228e-18
NPCC140,29000040,test1500:npcc140:0040,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.435064553392591,0.014272437699036912,0.42079211569355407,1.734723475976807e-18
