model,reference,dataset,population,system,scope,scope_value,window,metric,n_paired_records,model_records,reference_records,n_paired_scenes,n_groups,group_mean_difference,group_median_difference,group_win_rate,ci95_low,ci95_high
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,full,trajectory_rmse,4952,4952,4952,500,365,0.0028442010579136623,-0.0003390053183162993,0.5698630136986301,0.0013985796895229306,0.004438209167925159
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,full,differential_rmse,4952,4952,4952,500,365,-0.000352854351886321,-9.403739123768177e-05,0.5506849315068493,-0.000584692976910181,-7.772097706738011e-05
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,full,nadir_error,4952,4952,4952,500,365,-0.001888503971766372,-0.0031724482774734496,0.6054794520547945,-0.00378461385179816,0.00015924985659446466
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,ALL,ALL,full,max_abs_rocof_error,4780,4780,4780,500,365,0.0018711837916470689,0.020691770477905894,0.43561643835616437,-0.003868030362680135,0.007401705171019786
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,full,trajectory_rmse,1090,1090,1090,109,78,0.017266939890388855,0.0011070676762419758,0.3974358974358974,0.011643985207779373,0.023155769247127533
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,full,differential_rmse,1090,1090,1090,109,78,0.00012598504585282057,-0.00021965926529785333,0.6153846153846154,-0.00014167768238226137,0.0004998483326275865
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,full,nadir_error,1090,1090,1090,109,78,0.020118087767007988,0.00469890718276684,0.20512820512820512,0.014283248703483029,0.026233774920736197
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,full,max_abs_rocof_error,1090,1090,1090,109,78,0.05604180974600645,0.06536354019944363,0.16666666666666666,0.04566951603175217,0.06574327575822961
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,full,trajectory_rmse,4522,4522,4522,457,324,0.0032515383251523174,-0.00016748788717762874,0.5308641975308642,0.0015957345719185183,0.005083743485488742
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,full,differential_rmse,4522,4522,4522,457,324,-0.0004164923125539597,-0.00017549661597216493,0.5679012345679012,-0.0006789695328020469,-0.00010675319921415353
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,full,nadir_error,4522,4522,4522,457,324,-0.0013063874562837742,-0.002319618308683857,0.5555555555555556,-0.003474311128777439,0.0010109182537164265
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,full,max_abs_rocof_error,4350,4350,4350,457,324,0.0077850136064863225,0.02520237777972742,0.36728395061728397,0.00173215397465048,0.013680241136284963
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,full,trajectory_rmse,3878,3878,3878,500,365,0.0028187445252788696,-0.00013087138974035264,0.5616438356164384,0.0013373282397094555,0.004442891049842568
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,full,differential_rmse,3878,3878,3878,500,365,-0.00027876279301200567,0.0001728568778810297,0.4438356164383562,-0.00046451183161903077,-8.306857012253902e-05
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,full,nadir_error,3878,3878,3878,500,365,-0.0005381101178021525,-0.0005981179419904947,0.5095890410958904,-0.0024188888078367373,0.0014603637225730742
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,full,max_abs_rocof_error,3706,3706,3706,500,365,0.010695367022394172,0.023566351162968097,0.4054794520547945,0.003957152389690769,0.01712338199533455
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,full,trajectory_rmse,617,617,617,333,218,-0.002054876138202315,-0.0047405982046852925,0.6422018348623854,-0.003784889717612591,0.0006081099941295993
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,full,differential_rmse,617,617,617,333,218,0.0002702149432874217,9.652201258023648e-05,0.4908256880733945,-0.001168890200904126,0.0025643008448748405
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,full,nadir_error,617,617,617,333,218,-0.012630629066546807,-0.009701326489448547,0.8073394495412844,-0.014802488409214205,-0.010676807340863355
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,1,full,max_abs_rocof_error,617,617,617,333,218,-0.04120827251455831,0.007024482017160335,0.44954128440366975,-0.06052629547793124,-0.02372436630818621
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,pair,SG_GFM,full,pair_rmse,333,333,333,333,218,-0.00033252339293688956,5.230958658573675e-05,0.4954128440366973,-0.0019699788072924714,0.0022261991555572952
