model,epoch,dataset,population,system,scope,scope_value,window,metric,n_records,n_scenes,n_groups,group_macro,record_median,record_p90
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1125524382083347,0.0772584615584278,0.2788181538659932
G0_BALANCED,53,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.054326974974887,0.0288199783878657,0.1027688468677378
G0_BALANCED,53,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0479346902214363,0.0307169290498711,0.0834148034258759
G0_BALANCED,53,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0609086828263899,0.0229783946867787,0.11554724557943
A1_NO_BALANCE,53,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1158755054833096,0.0798608843259496,0.2776849245097813
A1_NO_BALANCE,53,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0544508897226539,0.0285767015129167,0.0930035349050547
A1_NO_BALANCE,53,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.05002962308904,0.0306481528046733,0.0882611282812549
A1_NO_BALANCE,53,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0599278451964023,0.0238786671972502,0.1149953687900697
A2_NO_SPATIAL,32,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1284820074480213,0.0854415530012589,0.2838330699809777
A2_NO_SPATIAL,32,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0580337703460162,0.0286709120744685,0.1729521527781582
A2_NO_SPATIAL,32,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.054955203297036,0.0338973251961727,0.1086716617139983
A2_NO_SPATIAL,32,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0649758331365448,0.0208357804035484,0.1128229380336423
A3_F_ONLY,44,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1144253709720927,0.0799378474488979,0.2802185335327197
A3_F_ONLY,44,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0550629239807499,0.0277909543514599,0.1068891348076846
A3_F_ONLY,44,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.053736273310758,0.033487285782461,0.0915067899233224
A3_F_ONLY,44,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0604724158977929,0.020365395174397,0.1066571115585168
A4_L_ONLY,26,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1218733158338445,0.0846375496779618,0.2829181659411269
A4_L_ONLY,26,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0550503883584619,0.0283047642022786,0.2046695328797796
A4_L_ONLY,26,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0551381104747243,0.0353796435439127,0.1067046493614051
A4_L_ONLY,26,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0616357938550514,0.0194187949215801,0.1106900550378754
A5_NO_PHYSICAL,47,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1178381268635011,0.0800204422679915,0.2811063908404045
A5_NO_PHYSICAL,47,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0554835050282971,0.027638142468884,0.1777512665694256
A5_NO_PHYSICAL,47,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0570921443878029,0.0382403203365679,0.102137146700425
A5_NO_PHYSICAL,47,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0612185130918835,0.0204643202961276,0.1095477441286189
A6_PRE_EVENT,56,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1151400808529458,0.0832273036560401,0.279913841050895
A6_PRE_EVENT,56,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0626662442929334,0.0311621034492468,0.1901891389962534
A6_PRE_EVENT,56,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0513832584871244,0.031914608210678,0.0893741210276782
A6_PRE_EVENT,56,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0624163492337263,0.0201248322764542,0.1130079923024462
E1_GRAPHICAL_DEEPONET,57,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1169339025365582,0.0870496974830892,0.2803693941973669
E1_GRAPHICAL_DEEPONET,57,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0580880648166358,0.032493674257242,0.184530322829429
E1_GRAPHICAL_DEEPONET,57,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0563020061866072,0.0329285610744567,0.0947486834021514
E1_GRAPHICAL_DEEPONET,57,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0925138933416538,0.02879151582816,0.1868388553086001
E2_GAT_H128,52,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1161123848134135,0.0832198042846317,0.2780677411106574
E2_GAT_H128,52,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0590374905417951,0.0297581482481537,0.1000253886192969
E2_GAT_H128,52,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0507779489588428,0.0328533481475865,0.0915454858240902
E2_GAT_H128,52,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0639075707283321,0.0218093273004102,0.1160885348230297
E3_GCN_H128,58,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1185521526980206,0.0859532503637415,0.277623336866688
E3_GCN_H128,58,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0546872551006908,0.0277732798800885,0.0866626145454382
E3_GCN_H128,58,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0512665100983609,0.033922514875286,0.0875152080725529
E3_GCN_H128,58,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0613160582942969,0.0201746438118744,0.1069166717402918
E4_UGCN,54,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1202477455003715,0.0878109208352736,0.280523945562359
E4_UGCN,54,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0728700045548601,0.0410563421372221,0.2950033542046905
E4_UGCN,54,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0505149606229735,0.030500792391121,0.085354715421105
E4_UGCN,54,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0670928560164705,0.0240824885393296,0.1127340878926339
E5_GAT_H384,55,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1095809768955808,0.0761266908424008,0.2811387358387325
E5_GAT_H384,55,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0537839895496003,0.0321987651298036,0.1040194039087065
E5_GAT_H384,55,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0406446818291164,0.0260353093986587,0.0724357479379665
E5_GAT_H384,55,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0539468645958736,0.0199651264078306,0.1005744874248867
E6_GCN_H384,55,validation,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,744,185,156,0.1074395565160741,0.073433072259917,0.265764498809527
E6_GCN_H384,55,validation,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,744,185,156,0.0531337635972775,0.0292460586112152,0.0851800664147209
E6_GCN_H384,55,validation,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,3039,211,69,0.0421871961213481,0.0299158250410439,0.0721160436703051
E6_GCN_H384,55,validation,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,3039,211,69,0.0564093668128176,0.0191407882066483,0.1015098070946009
G0_BALANCED,53,test,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,11461,290,189,0.0571744594671682,0.0238138035320627,0.0964612675285417
G0_BALANCED,53,test,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,11461,290,189,0.1760622998415709,0.0559126351802323,0.251170958379961
G0_BALANCED,53,test,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,2018,286,226,0.2970386520508228,0.1327117808413845,0.8296854512583478
G0_BALANCED,53,test,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,2018,286,226,0.4361258064226548,0.1736744362348544,1.2927270382284335
A1_NO_BALANCE,53,test,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,11461,290,189,0.0573554783250726,0.0235338254810898,0.1003094531837542
A1_NO_BALANCE,53,test,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,11461,290,189,0.1752035127370876,0.0578510902128267,0.2196152767124422
A1_NO_BALANCE,53,test,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,2018,286,226,0.2865778897216983,0.1309602650007661,0.752382934404161
A1_NO_BALANCE,53,test,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,2018,286,226,0.429903826276316,0.1711070358596067,1.2690348554924462
A2_NO_SPATIAL,32,test,ALL_1000,NPCC140,HIGH,HIGH,0_2,differential_rmse,11461,290,189,0.0583179616409541,0.0201770731139939,0.1184031891968826
A2_NO_SPATIAL,32,test,ALL_1000,NPCC140,HIGH,HIGH,2_10,differential_rmse,11461,290,189,0.1851691631192306,0.0606085846417765,0.2539740217242743
A2_NO_SPATIAL,32,test,ALL_1000,IEEE39,HIGH,HIGH,0_2,differential_rmse,2018,286,226,0.3108307329660957,0.1391742798291627,0.833389382925474
A2_NO_SPATIAL,32,test,ALL_1000,IEEE39,HIGH,HIGH,2_10,differential_rmse,2018,286,226,0.4528935542063419,0.1731165598442432,1.3735384691528625
